638293309	20170319	201703	2017	2017.2164	GOV	DIPLOMAT						GOV			USAGOV	THE WHITE HOUSE	USA					GOV			0	010	010	01	1	0.0	10	7	10	-3.97499198984691	1	United Kingdom	UK	UK	54	-2	UK	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170319	http://tbtpics.tampabay.com/news/politics/trump-sticks-to-unproved-wiretap-accusation-against-obama/2317063
638293508	20170319	201703	2017	2017.2164	LAB	EMPLOYEE						LAB													0	010	010	01	1	0.0	1	1	1	1.94842406876791	2	Illinois, United States	US	USIL	40.3363	-89.0022	IL	0							1	China	CH	CH	35	105	CH	20170319	http://news.xinhuanet.com/english/2017-03/19/c_136139757.htm
638294064	20170319	201703	2017	2017.2164	USA	UNITED STATES	USA																		0	042	042	04	1	1.9	2	1	2	-1.65016501650165	2	Missouri, United States	US	USMO	38.4623	-92.302	MO	0							1	United Kingdom	UK	UK	54	-2	UK	20170319	http://consequenceofsound.net/2017/03/r-i-p-chuck-berry-rock-n-roll-pioneer-has-died-at-the-age-of-90/
638294068	20170319	201703	2017	2017.2164	USA	UNITED STATES	USA																		0	043	043	04	1	2.8	2	1	2	-2.73396424815984	4	Ebanos, Nuevo LeóX, Mexico	MX	MX19	25.65	-99.55	-1680761	0							2	Texas, United States	US	USTX	31.106	-97.6475	TX	20170319	http://www.themonitor.com/news/local/article_5a285e5a-0c34-11e7-8fe3-bf835a15bf80.html
638294146	20170319	201703	2017	2017.2164	USA	NEW YORK	USA								CANGOV	CANADA	CAN					GOV			1	042	042	04	1	1.9	2	2	2	1.2131766582231	1	Canada	CA	CA	60	-95	CA	1	Canada	CA	CA	60	-95	CA	2	Michigan, United States	US	USMI	43.3504	-84.5603	MI	20170319	http://www.seattlepi.com/national/article/Inside-White-House-N-Y-moderates-spark-11011815.php
638294165	20170319	201703	2017	2017.2164	USA	UNITED STATES	USA								EDU	UNIVERSITY						EDU			1	042	042	04	1	1.9	4	1	4	2.88135593220339	2	Georgia, United States	US	USGA	32.9866	-83.6487	GA	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	52.2	0.116667	-2591658	2	Georgia, United States	US	USGA	32.9866	-83.6487	GA	20170319	https://www.forbes.com/sites/sarahturner/2017/03/18/on-the-rails-the-uks-best-sleeper-trains/
638294166	20170319	201703	2017	2017.2164	USA	UNITED STATES	USA								EDU	UNIVERSITY						EDU			1	042	042	04	1	1.9	2	1	2	2.88135593220339	2	Georgia, United States	US	USGA	32.9866	-83.6487	GA	2	Georgia, United States	US	USGA	32.9866	-83.6487	GA	4	Caernarfon, Gwynedd, United Kingdom	UK	UKY2	53.15	-4.26667	-2591507	20170319	https://www.forbes.com/sites/sarahturner/2017/03/18/on-the-rails-the-uks-best-sleeper-trains/
638294174	20170319	201703	2017	2017.2164	USA	UNITED STATES	USA								GBR	UNITED KINGDOM	GBR								0	012	012	01	1	-0.4	21	7	21	-3.97499198984691	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	United Kingdom	UK	UK	54	-2	UK	1	United Kingdom	UK	UK	54	-2	UK	20170319	http://tbtpics.tampabay.com/news/politics/trump-sticks-to-unproved-wiretap-accusation-against-obama/2317063
638294175	20170319	201703	2017	2017.2164	USA	UNITED STATES	USA								GBR	UNITED KINGDOM	GBR								0	030	030	03	1	4.0	28	7	28	-3.97499198984691	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	United Kingdom	UK	UK	54	-2	UK	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170319	http://tbtpics.tampabay.com/news/politics/trump-sticks-to-unproved-wiretap-accusation-against-obama/2317063
638294178	20170319	201703	2017	2017.2164	USA	UNITED STATES	USA								GBR	UNITED KINGDOM	GBR								1	112	112	11	3	-2.0	30	8	30	-3.85405784074011	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	United Kingdom	UK	UK	54	-2	UK	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170319	http://tbtpics.tampabay.com/news/politics/trump-sticks-to-unproved-wiretap-accusation-against-obama/2317063
638294179	20170319	201703	2017	2017.2164	USA	UNITED STATES	USA								GBR	WALES	GBR								1	192	192	19	4	-9.5	6	1	6	2.88135593220339	3	Culloden, Georgia, United States	US	USGA	32.8632	-84.0938	355402	4	Gwydir, Gwynedd, United Kingdom	UK	UKY2	52.9833	-4.41667	-2597902	4	Gwydir, Gwynedd, United Kingdom	UK	UKY2	52.9833	-4.41667	-2597902	20170319	https://www.forbes.com/sites/sarahturner/2017/03/18/on-the-rails-the-uks-best-sleeper-trains/
638294180	20170319	201703	2017	2017.2164	USA	UNITED STATES	USA								GBR	WALES	GBR								1	192	192	19	4	-9.5	2	1	2	2.88135593220339	3	Culloden, Georgia, United States	US	USGA	32.8632	-84.0938	355402	4	Gwydir, Gwynedd, United Kingdom	UK	UKY2	52.9833	-4.41667	-2597902	4	Lake District, Cumbria, United Kingdom	UK	UKC9	54.5	-3.16667	-2600606	20170319	https://www.forbes.com/sites/sarahturner/2017/03/18/on-the-rails-the-uks-best-sleeper-trains/
638294183	20170319	201703	2017	2017.2164	USA	UNITED STATES	USA								GOV	PRINCE						GOV			0	010	010	01	1	0.0	2	1	2	0.42698548249359	1	United Kingdom	UK	UK	54	-2	UK	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170319	http://www.thearabweekly.com/Opinion/8054/Saudi-King-Salman,-the-Magnificent
638294186	20170319	201703	2017	2017.2164	USA	UNITED STATES	USA								GOV	PRINCE						GOV			0	042	042	04	1	1.9	2	1	2	0.42698548249359	1	United Kingdom	UK	UK	54	-2	UK	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170319	http://www.thearabweekly.com/Opinion/8054/Saudi-King-Salman,-the-Magnificent
638294229	20170319	201703	2017	2017.2164	USA	UNITED STATES	USA								MEX	MEXICO	MEX								0	040	040	04	1	1.0	2	1	2	-5.51626591230552	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Mexico	MX	MX	23	-102	MX	1	Mexico	MX	MX	23	-102	MX	20170319	http://www.lcsun-news.com/story/opinion/letters/2017/03/18/letters-truth-indivisible/99279472/
638294232	20170319	201703	2017	2017.2164	USA	UNITED STATES	USA								MEXPTY	MEXICAN	MEX								0	040	040	04	1	1.0	6	1	6	-5.51626591230552	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Mexico	MX	MX	23	-102	MX	1	Mexico	MX	MX	23	-102	MX	20170319	http://www.lcsun-news.com/story/opinion/letters/2017/03/18/letters-truth-indivisible/99279472/
638294256	20170319	201703	2017	2017.2164	USA	UNITED STATES	USA								USAGOV	THE WHITE HOUSE	USA					GOV			0	030	030	03	1	4.0	7	7	7	-3.97499198984691	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	United Kingdom	UK	UK	54	-2	UK	1	United Kingdom	UK	UK	54	-2	UK	20170319	http://tbtpics.tampabay.com/news/politics/trump-sticks-to-unproved-wiretap-accusation-against-obama/2317063
638294261	20170319	201703	2017	2017.2164	USA	UNITED STATES	USA								USAGOV	THE WHITE HOUSE	USA					GOV			0	112	112	11	3	-2.0	7	7	7	-3.97499198984691	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	United Kingdom	UK	UK	54	-2	UK	20170319	http://tbtpics.tampabay.com/news/politics/trump-sticks-to-unproved-wiretap-accusation-against-obama/2317063
638294262	20170319	201703	2017	2017.2164	USA	UNITED STATES	USA								USAGOV	THE WHITE HOUSE	USA					GOV			0	112	112	11	3	-2.0	7	7	7	-3.97499198984691	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	United Kingdom	UK	UK	54	-2	UK	1	United Kingdom	UK	UK	54	-2	UK	20170319	http://tbtpics.tampabay.com/news/politics/trump-sticks-to-unproved-wiretap-accusation-against-obama/2317063
638294263	20170319	201703	2017	2017.2164	USA	UNITED STATES	USA								USAGOVMIL	UNITED STATES	USA					GOV	MIL		0	012	012	01	1	-0.4	2	2	2	-4.43180703990587	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	United Kingdom	UK	UK	54	-2	UK	20170319	http://tbtpics.tampabay.com/news/politics/trump-sticks-to-unproved-wiretap-accusation-against-obama/2317063
638295612	20170319	201703	2017	2017.2164											USA	UNITED STATES	USA								1	036	036	03	1	4.0	4	2	4	3.4710051208909	0							2	Idaho, United States	US	USID	44.2394	-114.51	ID	1	Canada	CA	CA	60	-95	CA	20170319	http://www.hiawathaworldonline.com/news/agriculture/better-bulls-breed-better-science-testing-have-become-great-help/article_eb169819-cc37-55a4-a5a6-868cec5f0597.html
638295749	20170319	201703	2017	2017.2164	CAN	CANADA	CAN								DNK	DENMARK	DNK								1	030	030	03	1	4.0	8	1	8	4.74934036939314	1	Canada	CA	CA	60	-95	CA	1	Denmark	DA	DA	56	10	DA	1	United States	US	US	38	-97	US	20170319	http://www.patrick.af.mil/News/Article-Display/Article/1123151/45th-space-wing-supports-successful-delta-iv-wgs-9-launch
638295750	20170319	201703	2017	2017.2164	CAN	CANADA	CAN								DNK	DENMARK	DNK								1	030	030	03	1	4.0	2	1	2	4.74934036939314	1	United States	US	US	38	-97	US	1	Canada	CA	CA	60	-95	CA	1	United States	US	US	38	-97	US	20170319	http://www.patrick.af.mil/News/Article-Display/Article/1123151/45th-space-wing-supports-successful-delta-iv-wgs-9-launch
638295751	20170319	201703	2017	2017.2164	CAN	CANADA	CAN								LUX	LUXEMBOURG	LUX								1	030	030	03	1	4.0	8	1	8	4.74934036939314	1	Canada	CA	CA	60	-95	CA	1	Luxembourg	LU	LU	49.75	6.1667	LU	1	United States	US	US	38	-97	US	20170319	http://www.patrick.af.mil/News/Article-Display/Article/1123151/45th-space-wing-supports-successful-delta-iv-wgs-9-launch
638295753	20170319	201703	2017	2017.2164	CAN	CANADA	CAN								NLD	THE NETHERLAND	NLD								1	030	030	03	1	4.0	8	1	8	4.74934036939314	1	Canada	CA	CA	60	-95	CA	1	Netherlands	NL	NL	52.5	5.75	NL	1	United States	US	US	38	-97	US	20170319	http://www.patrick.af.mil/News/Article-Display/Article/1123151/45th-space-wing-supports-successful-delta-iv-wgs-9-launch
638295755	20170319	201703	2017	2017.2164	CAN	CANADA	CAN								NZL	NEW ZEALAND	NZL								1	030	030	03	1	4.0	8	1	8	4.74934036939314	1	Canada	CA	CA	60	-95	CA	1	New Zealand	NZ	NZ	-41	174	NZ	1	United States	US	US	38	-97	US	20170319	http://www.patrick.af.mil/News/Article-Display/Article/1123151/45th-space-wing-supports-successful-delta-iv-wgs-9-launch
638295759	20170319	201703	2017	2017.2164	CAN	CANADA	CAN								USA	UNITED STATES	USA								1	020	020	02	1	3.0	1	1	1	0	1	Canada	CA	CA	60	-95	CA	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170319	http://www.washingtonexaminer.com/report-trump-rejected-canadian-prime-ministers-invite-to-new-york-city-play/article/2617804
638295760	20170319	201703	2017	2017.2164	CAN	CANADA	CAN								USA	UNITED STATES	USA								0	020	020	02	1	3.0	1	1	1	0	1	Canada	CA	CA	60	-95	CA	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Canada	CA	CA	60	-95	CA	20170319	http://www.washingtonexaminer.com/report-trump-rejected-canadian-prime-ministers-invite-to-new-york-city-play/article/2617804
638295761	20170319	201703	2017	2017.2164	CAN	CANADA	CAN								USA	UNITED STATES	USA								1	030	030	03	1	4.0	8	1	8	4.74934036939314	1	Canada	CA	CA	60	-95	CA	1	United States	US	US	38	-97	US	1	United States	US	US	38	-97	US	20170319	http://www.patrick.af.mil/News/Article-Display/Article/1123151/45th-space-wing-supports-successful-delta-iv-wgs-9-launch
638295763	20170319	201703	2017	2017.2164	CAN	CANADA	CAN								USA	UNITED STATES	USA								1	043	043	04	1	2.8	4	1	2	0	1	Canada	CA	CA	60	-95	CA	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170319	http://www.washingtonexaminer.com/report-trump-rejected-canadian-prime-ministers-invite-to-new-york-city-play/article/2617804
638295766	20170319	201703	2017	2017.2164	CAN	CANADA	CAN								USA	UNITED STATES	USA								1	060	060	06	2	6.0	14	7	14	3.49530878867026	1	Canada	CA	CA	60	-95	CA	1	Canada	CA	CA	60	-95	CA	2	Idaho, United States	US	USID	44.2394	-114.51	ID	20170319	http://www.hiawathaworldonline.com/news/agriculture/better-bulls-breed-better-science-testing-have-become-great-help/article_eb169819-cc37-55a4-a5a6-868cec5f0597.html
638295798	20170319	201703	2017	2017.2164	CHN	CHINA	CHN								USA	UNITED STATES	USA								0	020	020	02	1	3.0	2	1	2	-5.04032258064516	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170319	http://www.calgaryherald.com/news/world/china+tells+98coolheaded+north+korea+98dangerous+tension+rises/13142142/story.html
638295799	20170319	201703	2017	2017.2164	CHN	CHINA	CHN								USA	UNITED STATES	USA								0	020	020	02	1	3.0	32	3	32	-3.01447843618478	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170319	http://www.calgaryherald.com/news/world/china+tells+98coolheaded+north+korea+98dangerous+tension+rises/13142142/story.html
638295873	20170319	201703	2017	2017.2164	CRI	COSTA RICAN	CRI								GOV	GOVERNMENT						GOV			1	061	061	06	2	6.4	3	1	3	-2.61780104712041	1	China	CH	CH	35	105	CH	1	United States	US	US	38	-97	US	1	Costa Rica	CS	CS	10	-84	CS	20170319	https://www.stabroeknews.com/2017/news/regional/03/18/costa-rica-says-wins-permit-export-pineapples-china/
638295902	20170319	201703	2017	2017.2164	CVL	VILLAGE						CVL			USA	UNITED STATES	USA								1	020	020	02	1	3.0	3	1	2	-2.22804718217562	1	India	IN	IN	20	77	IN	3	Princeton, Montana, United States	US	USMT	46.4169	-113.166	789189	3	Princeton, Montana, United States	US	USMT	46.4169	-113.166	789189	20170319	http://www.weeklystandard.com/well-no-but-i-did-fly-over-it-once/article/2007271
638295903	20170319	201703	2017	2017.2164	CVL	VILLAGE						CVL			USA	UNITED STATES	USA								1	020	020	02	1	3.0	1	1	1	-2.22804718217562	1	India	IN	IN	20	77	IN	3	Princeton, Montana, United States	US	USMT	46.4169	-113.166	789189	1	India	IN	IN	20	77	IN	20170319	http://www.weeklystandard.com/well-no-but-i-did-fly-over-it-once/article/2007271
638295938	20170319	201703	2017	2017.2164	DNK	DENMARK	DNK								CAN	CANADA	CAN								1	030	030	03	1	4.0	2	1	2	4.74934036939314	1	Canada	CA	CA	60	-95	CA	1	United States	US	US	38	-97	US	1	United States	US	US	38	-97	US	20170319	http://www.patrick.af.mil/News/Article-Display/Article/1123151/45th-space-wing-supports-successful-delta-iv-wgs-9-launch
638295939	20170319	201703	2017	2017.2164	DNK	DENMARK	DNK								CAN	CANADA	CAN								1	030	030	03	1	4.0	8	1	8	4.74934036939314	1	Denmark	DA	DA	56	10	DA	1	Canada	CA	CA	60	-95	CA	1	United States	US	US	38	-97	US	20170319	http://www.patrick.af.mil/News/Article-Display/Article/1123151/45th-space-wing-supports-successful-delta-iv-wgs-9-launch
638295941	20170319	201703	2017	2017.2164	DNK	DENMARK	DNK								LUX	LUXEMBOURG	LUX								1	030	030	03	1	4.0	2	1	2	4.74934036939314	1	Canada	CA	CA	60	-95	CA	1	Denmark	DA	DA	56	10	DA	1	United States	US	US	38	-97	US	20170319	http://www.patrick.af.mil/News/Article-Display/Article/1123151/45th-space-wing-supports-successful-delta-iv-wgs-9-launch
638295943	20170319	201703	2017	2017.2164	DNK	DENMARK	DNK								NLD	THE NETHERLAND	NLD								1	030	030	03	1	4.0	2	1	2	4.74934036939314	1	Canada	CA	CA	60	-95	CA	1	Luxembourg	LU	LU	49.75	6.1667	LU	1	United States	US	US	38	-97	US	20170319	http://www.patrick.af.mil/News/Article-Display/Article/1123151/45th-space-wing-supports-successful-delta-iv-wgs-9-launch
638295945	20170319	201703	2017	2017.2164	DNK	DENMARK	DNK								NZL	NEW ZEALAND	NZL								1	030	030	03	1	4.0	2	1	2	4.74934036939314	1	Canada	CA	CA	60	-95	CA	1	Netherlands	NL	NL	52.5	5.75	NL	1	United States	US	US	38	-97	US	20170319	http://www.patrick.af.mil/News/Article-Display/Article/1123151/45th-space-wing-supports-successful-delta-iv-wgs-9-launch
638295947	20170319	201703	2017	2017.2164	DNK	DENMARK	DNK								USA	UNITED STATES	USA								1	030	030	03	1	4.0	2	1	2	4.74934036939314	1	Canada	CA	CA	60	-95	CA	1	United States	US	US	38	-97	US	1	United States	US	US	38	-97	US	20170319	http://www.patrick.af.mil/News/Article-Display/Article/1123151/45th-space-wing-supports-successful-delta-iv-wgs-9-launch
638295967	20170319	201703	2017	2017.2164	EDU	PROFESSOR						EDU			BUS	BUSINESS						BUS			0	010	010	01	1	0.0	6	1	6	-2.22804718217562	3	Princeton, Montana, United States	US	USMT	46.4169	-113.166	789189	1	India	IN	IN	20	77	IN	1	India	IN	IN	20	77	IN	20170319	http://www.weeklystandard.com/well-no-but-i-did-fly-over-it-once/article/2007271
638295968	20170319	201703	2017	2017.2164	EDU	PROFESSOR						EDU			BUS	BUSINESS						BUS			1	010	010	01	1	0.0	6	1	6	-2.22804718217562	1	India	IN	IN	20	77	IN	2	Mississippi, United States	US	USMS	32.7673	-89.6812	MS	2	Mississippi, United States	US	USMS	32.7673	-89.6812	MS	20170319	http://www.weeklystandard.com/well-no-but-i-did-fly-over-it-once/article/2007271
638296053	20170319	201703	2017	2017.2164	GBR	UNITED KINGDOM	GBR																		1	090	090	09	2	-2.0	1	1	1	-6.05095541401274	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	0							4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	20170319	http://mobile.reuters.com/article/politicsNews/idUSKBN16P096
638296152	20170319	201703	2017	2017.2164	GOV	ADMINISTRATION						GOV			CAN	CANADA	CAN								1	020	020	02	1	3.0	2	1	1	0	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Canada	CA	CA	60	-95	CA	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170319	http://www.washingtonexaminer.com/report-trump-rejected-canadian-prime-ministers-invite-to-new-york-city-play/article/2617804
638296235	20170319	201703	2017	2017.2164	GOV	CHANCELLOR						GOV			USA	UNITED STATES	USA								0	042	042	04	1	1.9	1	1	1	-0.68060281964025	2	Montana, United States	US	USMT	46.9048	-110.326	MT	1	United Kingdom	UK	UK	54	-2	UK	1	United Kingdom	UK	UK	54	-2	UK	20170319	http://naijaoversabi.com/2017/03/19/let-americans-take-back-their-health-care.html
638296495	20170319	201703	2017	2017.2164	LUX	LUXEMBOURG	LUX								CAN	CANADA	CAN								1	030	030	03	1	4.0	8	1	8	4.74934036939314	1	Luxembourg	LU	LU	49.75	6.1667	LU	1	Canada	CA	CA	60	-95	CA	1	United States	US	US	38	-97	US	20170319	http://www.patrick.af.mil/News/Article-Display/Article/1123151/45th-space-wing-supports-successful-delta-iv-wgs-9-launch
638296496	20170319	201703	2017	2017.2164	LUX	LUXEMBOURG	LUX								DNK	DENMARK	DNK								1	030	030	03	1	4.0	2	1	2	4.74934036939314	1	Denmark	DA	DA	56	10	DA	1	Canada	CA	CA	60	-95	CA	1	United States	US	US	38	-97	US	20170319	http://www.patrick.af.mil/News/Article-Display/Article/1123151/45th-space-wing-supports-successful-delta-iv-wgs-9-launch
638296537	20170319	201703	2017	2017.2164	MEX	MEXICO	MEX																		1	190	190	19	4	-10.0	2	1	2	-7.14285714285714	1	Mexico	MX	MX	23	-102	MX	0							2	Louisiana, United States	US	USLA	31.1801	-91.8749	LA	20170319	http://www.arklatexhomepage.com/news/local-news/popular-local-chefs-murder-trial-to-kick-off-monday/674820355
638296605	20170319	201703	2017	2017.2164	NLD	THE NETHERLAND	NLD								CAN	CANADA	CAN								1	030	030	03	1	4.0	8	1	8	4.74934036939314	1	Netherlands	NL	NL	52.5	5.75	NL	1	Canada	CA	CA	60	-95	CA	1	United States	US	US	38	-97	US	20170319	http://www.patrick.af.mil/News/Article-Display/Article/1123151/45th-space-wing-supports-successful-delta-iv-wgs-9-launch
638296608	20170319	201703	2017	2017.2164	NLD	THE NETHERLAND	NLD								DNK	DENMARK	DNK								1	030	030	03	1	4.0	2	1	2	4.74934036939314	1	Luxembourg	LU	LU	49.75	6.1667	LU	1	Canada	CA	CA	60	-95	CA	1	United States	US	US	38	-97	US	20170319	http://www.patrick.af.mil/News/Article-Display/Article/1123151/45th-space-wing-supports-successful-delta-iv-wgs-9-launch
638296638	20170319	201703	2017	2017.2164	NZL	NEW ZEALAND	NZL								CAN	CANADA	CAN								1	030	030	03	1	4.0	8	1	8	4.74934036939314	1	New Zealand	NZ	NZ	-41	174	NZ	1	Canada	CA	CA	60	-95	CA	1	United States	US	US	38	-97	US	20170319	http://www.patrick.af.mil/News/Article-Display/Article/1123151/45th-space-wing-supports-successful-delta-iv-wgs-9-launch
638296639	20170319	201703	2017	2017.2164	NZL	NEW ZEALAND	NZL								DNK	DENMARK	DNK								1	030	030	03	1	4.0	2	1	2	4.74934036939314	1	Netherlands	NL	NL	52.5	5.75	NL	1	Canada	CA	CA	60	-95	CA	1	United States	US	US	38	-97	US	20170319	http://www.patrick.af.mil/News/Article-Display/Article/1123151/45th-space-wing-supports-successful-delta-iv-wgs-9-launch
638296868	20170319	201703	2017	2017.2164	USA	UNITED STATES	USA																		1	036	036	03	1	4.0	32	9	32	3.52437594504565	2	Idaho, United States	US	USID	44.2394	-114.51	ID	0							1	Canada	CA	CA	60	-95	CA	20170319	http://www.hiawathaworldonline.com/news/agriculture/better-bulls-breed-better-science-testing-have-become-great-help/article_eb169819-cc37-55a4-a5a6-868cec5f0597.html
638296931	20170319	201703	2017	2017.2164	USA	UNITED STATES	USA								BUS	BUSINESS						BUS			1	010	010	01	1	0.0	2	1	2	-2.22804718217562	3	Princeton, Montana, United States	US	USMT	46.4169	-113.166	789189	3	Princeton, Montana, United States	US	USMT	46.4169	-113.166	789189	1	India	IN	IN	20	77	IN	20170319	http://www.weeklystandard.com/well-no-but-i-did-fly-over-it-once/article/2007271
638296932	20170319	201703	2017	2017.2164	USA	UNITED STATES	USA								BUS	BUSINESS						BUS			0	010	010	01	1	0.0	1	1	1	-2.22804718217562	3	Princeton, Montana, United States	US	USMT	46.4169	-113.166	789189	1	India	IN	IN	20	77	IN	1	India	IN	IN	20	77	IN	20170319	http://www.weeklystandard.com/well-no-but-i-did-fly-over-it-once/article/2007271
638296937	20170319	201703	2017	2017.2164	USA	UNITED STATES	USA								CAN	CANADA	CAN								1	020	020	02	1	3.0	4	1	2	0	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Canada	CA	CA	60	-95	CA	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170319	http://www.washingtonexaminer.com/report-trump-rejected-canadian-prime-ministers-invite-to-new-york-city-play/article/2617804
638296938	20170319	201703	2017	2017.2164	USA	UNITED STATES	USA								CAN	CANADA	CAN								1	030	030	03	1	4.0	8	1	8	4.74934036939314	1	United States	US	US	38	-97	US	1	Canada	CA	CA	60	-95	CA	1	United States	US	US	38	-97	US	20170319	http://www.patrick.af.mil/News/Article-Display/Article/1123151/45th-space-wing-supports-successful-delta-iv-wgs-9-launch
638296940	20170319	201703	2017	2017.2164	USA	UNITED STATES	USA								CAN	CANADA	CAN								1	042	042	04	1	1.9	4	1	2	0	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Canada	CA	CA	60	-95	CA	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170319	http://www.washingtonexaminer.com/report-trump-rejected-canadian-prime-ministers-invite-to-new-york-city-play/article/2617804
638296941	20170319	201703	2017	2017.2164	USA	UNITED STATES	USA								CAN	CANADA	CAN								1	057	057	05	1	8.0	8	1	8	4.74934036939314	1	United States	US	US	38	-97	US	1	Canada	CA	CA	60	-95	CA	1	New Zealand	NZ	NZ	-41	174	NZ	20170319	http://www.patrick.af.mil/News/Article-Display/Article/1123151/45th-space-wing-supports-successful-delta-iv-wgs-9-launch
638296943	20170319	201703	2017	2017.2164	USA	WASHINGTON	USA								CAN	CANADIAN	CAN								0	120	120	12	3	-4.0	2	1	2	0	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Canada	CA	CA	60	-95	CA	1	Canada	CA	CA	60	-95	CA	20170319	http://www.washingtonexaminer.com/report-trump-rejected-canadian-prime-ministers-invite-to-new-york-city-play/article/2617804
638296944	20170319	201703	2017	2017.2164	USA	WASHINGTON	USA								CANGOV	CANADA	CAN					GOV			0	036	036	03	1	4.0	1	1	1	0	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Canada	CA	CA	60	-95	CA	1	Canada	CA	CA	60	-95	CA	20170319	http://www.washingtonexaminer.com/report-trump-rejected-canadian-prime-ministers-invite-to-new-york-city-play/article/2617804
638296974	20170319	201703	2017	2017.2164	USA	UNITED STATES	USA								DNK	DENMARK	DNK								1	030	030	03	1	4.0	2	1	2	4.74934036939314	1	United States	US	US	38	-97	US	1	Canada	CA	CA	60	-95	CA	1	United States	US	US	38	-97	US	20170319	http://www.patrick.af.mil/News/Article-Display/Article/1123151/45th-space-wing-supports-successful-delta-iv-wgs-9-launch
638297012	20170319	201703	2017	2017.2164	USA	UNITED STATES	USA								GOV	CHANCELLOR						GOV			0	043	043	04	1	2.8	1	1	1	-0.68060281964025	1	United Kingdom	UK	UK	54	-2	UK	2	Montana, United States	US	USMT	46.9048	-110.326	MT	1	United Kingdom	UK	UK	54	-2	UK	20170319	http://naijaoversabi.com/2017/03/19/let-americans-take-back-their-health-care.html
638299068	20170217	201702	2017	2017.1288	CHN	CHINA	CHN								PRK	PYONGYANG	PRK								0	057	057	05	1	8.0	2	1	2	-1.01449275362319	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170319	http://prntly.com/2017/03/19/rex-tillerson-visits-beijing-china-pledges-to-respect-president-donald-trump/
638299069	20170217	201702	2017	2017.1288	CHNGOV	CHINESE	CHN					GOV			GOV	PRESIDENT						GOV			1	050	050	05	1	3.5	3	1	3	0.39920159680639	1	China	CH	CH	35	105	CH	1	United States	US	US	38	-97	US	1	United States	US	US	38	-97	US	20170319	https://sg.news.yahoo.com/north-korea-tests-rocket-engine-kcna-232314582.html
